,month1,month2,month3,month4,month5,month6,month7,month8,month9,month10,month11,month12,s_DC1,S_DC1,s_DC2,S_DC2,s_r1,S_r1,profit
106,47758,20861,34926,19970,25169,28981,31590,15542,13077,77033,43883,36991,101031,199650,111729,219234,115949,229351,230355865
107,19811,48322,28815,41231,22759,53973,46387,60324,65625,84227,27955,28256,129658,241756,101134,299865,173836,268565,300562451
108,30474,44893,41176,61490,41928,48306,14966,28431,78324,44166,26339,72136,139654,241780,158920,283658,170687,284791,211060224
109,34375,50507,96410,26790,3424,32443,92914,32668,81701,76273,25144,54023,136571,363099,126056,282548,112823,398758,380310440
110,8059,18202,11042,22570,12675,38648,16210,35987,19901,29922,8600,17125,78675,113871,67775,148301,42057,115224,134327551
111,27422,20184,10952,10674,16899,14199,10862,8491,18806,36399,14716,21958,50167,110395,35834,136812,43082,101502,99324182
112,14720,11109,18452,23356,17350,31491,26327,31409,32244,17059,17129,16561,84714,131159,43940,135304,68615,133887,107253248
113,26947,16703,31034,13512,53580,15545,7877,17943,26034,24504,6783,51201,76164,168586,55465,145868,84249,147793,128295048
114,24322,9294,21423,4498,4857,22113,13307,16911,23024,9578,18772,12044,43865,85696,48466,106615,42338,113617,103322831
115,9215,18595,5958,4946,10418,8442,9346,6101,8825,4399,2240,3377,26597,44994,20893,42764,17272,50176,54649658
116,4920,4261,5007,7171,3421,4036,6545,4951,5163,3852,2813,16155,15956,44524,15334,29114,13703,32303,39316201
117,4499,1482,2399,4349,2659,2563,4586,4460,9662,11398,3605,4872,12392,26721,17815,28034,18128,30544,26578936
118,3531,3618,2486,2727,3313,4630,2000,8599,6328,5367,1816,4485,12582,22816,11808,24350,16080,25778,24226481
119,2112,5861,5687,2595,5466,1450,4357,3968,5182,1310,2662,1736,11821,22178,7917,17674,8997,23835,18318529
120,4370,13018,10327,10359,5470,18017,6954,10519,4687,6442,1700,4210,27660,62253,17304,62764,25542,58107,51821732
121,6798,4478,2435,5925,13471,2940,3761,5279,2665,12575,4185,13045,14914,45398,13763,48858,23030,40132,43882839
122,3583,4292,6529,4694,4995,6064,10382,7917,10765,13771,3809,5162,21230,38333,14253,50267,18784,52013,49196145
123,5634,11410,14670,12420,10716,5395,6296,5748,6692,13980,2953,8427,29663,56719,29922,61664,17414,44220,57789508
124,6286,10534,19253,7246,2451,9005,3446,1257,7406,3470,1095,2235,20566,43035,13883,48346,13649,45702,35425810
125,16102,10923,25677,8657,10294,16113,29198,19831,36292,14920,6886,53795,76439,154016,58482,145183,61539,117568,122930635
126,21864,12221,25826,14179,14118,14025,25222,10953,14939,23907,25917,13318,42278,121889,66478,133901,46911,136099,124370732
127,8623,15509,19617,30905,26801,18267,13548,16171,21484,24895,15434,16956,60665,138850,62851,121130,47628,98596,118541520
128,17599,16242,10540,10899,14516,45074,13044,27517,26553,26915,23430,13987,41349,151980,61040,148852,55938,132234,128434384
129,9005,10785,8456,10591,6583,31488,21919,8143,26696,11052,16007,594,41503,105624,27121,80898,39162,68059,80429827
130,11372,18023,28593,13318,37698,17925,32618,28846,36631,15060,10175,28755,75342,182219,50274,165600,48031,176569,97892471
131,15106,28260,34498,22889,41600,25786,24392,33829,18696,13578,12681,26475,69029,174103,60877,147602,90345,169290,170930554
132,33016,24186,41279,25611,15103,31590,14934,23359,23278,27538,17117,34513,61158,182238,102502,183996,70051,189750,65658409
133,21975,38897,18596,8959,15470,39109,19061,21151,24591,8613,16982,19951,49485,125849,42642,116684,82562,111967,111172421
