,RL_no_season,RL_no_season_24,RL_poisson_no_season,RL_no_season_poisson_lead_time,RL_poisson_no_season_poisson_lead_time
157,105863.33333333331,22693.000000000004,107360.0,88521.00000000003,76339.00000000001
158,104740.00000000001,23186.33333333334,105544.66666666667,98473.99999999999,99861.0
159,109747.33333333337,19960.333333333336,98854.33333333333,97758.66666666667,84664.66666666666
160,99962.66666666667,22067.666666666668,102443.6666666667,104439.66666666664,53338.00000000003
161,99477.66666666666,23166.333333333336,107569.3333333333,106126.33333333333,96173.33333333334
162,109316.33333333337,24206.333333333336,109224.3333333334,98535.00000000004,95773.66666666669
163,105290.66666666672,23424.000000000004,105473.33333333333,94884.33333333334,90241.00000000006
164,108763.33333333334,24456.000000000007,92055.33333333334,101899.66666666669,109564.33333333339
165,104082.99999999999,22104.333333333343,94737.66666666667,70540.33333333334,106861.00000000001
166,107878.33333333334,23328.00000000001,104865.6666666667,96579.00000000001,91424.33333333336
167,103842.0,23982.333333333336,101639.66666666664,97872.66666666672,101898.0
168,103819.6666666667,23359.33333333334,102753.00000000003,104348.33333333331,90074.6666666667
169,104518.6666666667,23583.66666666667,84544.66666666669,87875.99999999999,103490.0
170,102539.33333333336,23247.000000000004,100777.66666666666,98039.33333333334,95408.6666666667
171,108650.00000000004,21090.0,103256.66666666664,106164.66666666669,101262.00000000003
172,107728.3333333333,23598.33333333334,105912.33333333333,104050.6666666667,99423.00000000003
173,98143.33333333334,24085.666666666668,108972.33333333337,79447.33333333331,98238.6666666667
174,105850.66666666667,24381.333333333336,102099.00000000001,93653.33333333334,98336.33333333333
175,107490.99999999997,23933.333333333343,91394.00000000003,101777.33333333334,98062.66666666674
176,109870.33333333334,23677.000000000004,102966.00000000001,88227.66666666669,92681.00000000003
177,105426.33333333334,23799.000000000004,106015.33333333334,106011.99999999999,98535.99999999999
178,102800.66666666672,24311.333333333343,103898.66666666669,94081.99999999999,80536.66666666666
179,106823.00000000003,23794.666666666675,103692.33333333333,91901.66666666667,80632.33333333336
180,103732.00000000003,25350.000000000007,91707.66666666669,93167.00000000001,103993.33333333336
181,94389.0,21635.0,102133.33333333336,92133.00000000001,98614.33333333337
182,101359.33333333333,23450.000000000004,108856.66666666672,100597.99999999997,78500.66666666666
183,105905.66666666666,20128.66666666667,101510.33333333328,93762.00000000001,96854.33333333331
184,108996.66666666667,22019.333333333336,107007.66666666661,86195.0,103988.33333333336
185,95568.6666666667,23054.333333333343,89853.00000000001,99475.00000000004,62815.33333333332
186,107477.00000000001,23315.333333333336,91923.66666666664,78079.33333333331,77889.66666666669
187,101133.66666666666,23850.66666666667,92356.00000000003,104513.33333333324,102385.00000000001
188,105822.0,21636.333333333343,106209.0,77934.66666666667,99801.00000000003
189,107034.33333333336,22722.333333333336,107276.6666666667,93571.66666666666,86129.33333333337
190,106314.66666666664,22444.000000000007,103316.66666666673,108067.00000000001,96761.99999999997
191,105345.0,21726.66666666667,104931.33333333331,104375.99999999996,102589.33333333334
192,104508.66666666667,23620.66666666667,100176.33333333337,103703.0,94545.33333333336
193,108677.66666666667,22626.33333333334,95108.33333333331,101887.66666666666,73231.00000000003
194,106040.33333333333,24182.333333333343,108781.6666666666,94005.99999999999,103623.66666666669
195,108075.33333333333,19891.000000000004,104997.99999999999,99413.0,97737.33333333333
196,102634.00000000007,21942.666666666668,98953.33333333334,94087.66666666672,93946.33333333333
197,104639.66666666669,23807.000000000004,107331.33333333336,105471.00000000001,91020.0
198,98613.33333333334,21365.666666666675,104105.99999999996,102526.0,96394.99999999999
199,106608.3333333334,21719.000000000004,111108.00000000003,109449.33333333336,79042.0
200,99574.00000000006,23389.33333333334,105921.66666666663,105838.99999999999,105385.33333333333
201,88168.0,23100.666666666668,97258.6666666667,102767.33333333333,88115.00000000003
202,104886.66666666667,19876.000000000004,98947.33333333333,84085.66666666666,100271.66666666672
203,99875.0,22260.33333333334,102875.33333333339,86238.66666666666,98512.66666666667
204,100293.00000000001,23517.333333333343,109007.0,101464.66666666667,93384.33333333337
205,108320.66666666669,21713.000000000007,103328.0,92371.00000000003,95896.66666666669
206,101660.33333333334,21046.666666666668,105450.3333333333,99426.00000000003,93714.66666666669
207,107737.00000000001,24159.000000000004,102574.33333333333,96042.33333333334,93755.33333333333
208,103833.6666666667,22536.666666666675,93747.0,104439.33333333331,103071.66666666667
209,106012.99999999997,23107.00000000001,108156.99999999996,108057.66666666667,103375.66666666666
210,99077.33333333334,21694.000000000007,99897.00000000004,88171.6666666667,75888.33333333333
211,109265.00000000004,22192.66666666667,110742.6666666667,97295.33333333337,90009.6666666667
212,109431.00000000001,25210.33333333334,105589.99999999996,102413.99999999999,102376.00000000004
213,105541.33333333336,23627.000000000004,97309.66666666669,72286.33333333334,82730.33333333336
214,110336.33333333339,21930.66666666667,102572.99999999996,108198.66666666667,102142.33333333333
215,92408.33333333336,24033.0,109406.99999999999,92810.33333333334,102839.66666666667
216,100924.99999999999,24001.666666666675,108513.3333333334,105894.0,94129.66666666666
217,97326.99999999999,22501.000000000004,95972.3333333333,107141.33333333331,99405.33333333339
218,104915.33333333334,20950.000000000007,103412.66666666666,95020.33333333331,77854.66666666667
219,107976.66666666667,23077.666666666675,100604.33333333333,102874.33333333333,81867.0
220,106189.33333333337,24657.0,104944.00000000003,87978.33333333331,65597.33333333337
221,104450.33333333333,26228.000000000004,107571.00000000003,98422.66666666666,98008.00000000003
222,104816.00000000001,22225.000000000007,99478.66666666667,99414.6666666667,76280.00000000003
223,103556.0,22768.33333333334,107788.66666666663,74876.33333333336,76746.66666666666
224,109145.33333333337,23346.000000000004,100903.66666666666,99269.66666666667,96439.00000000001
225,105130.33333333337,23375.000000000015,100136.33333333331,90545.66666666669,98159.0
226,106666.00000000001,23825.000000000007,99410.66666666663,104029.66666666666,100899.00000000003
227,106637.0,22755.000000000004,105703.99999999994,96802.33333333337,95167.66666666672
228,104717.66666666664,21570.66666666667,100236.66666666669,101361.33333333333,95848.66666666664
229,103731.33333333337,23113.66666666667,92292.66666666667,101517.33333333331,93674.66666666667
230,98875.33333333334,25429.000000000004,94836.66666666664,92033.33333333333,93919.66666666667
231,101785.00000000006,23560.333333333336,105294.00000000003,91246.99999999999,91726.0
232,103697.33333333337,23312.333333333343,81837.66666666669,68158.66666666667,106594.33333333337
233,97222.00000000004,22196.666666666668,105446.0,98385.33333333334,72464.6666666667
234,104068.99999999997,22098.666666666668,104350.66666666666,100708.6666666666,98285.66666666667
235,97895.6666666667,23668.333333333332,108468.66666666669,93597.6666666667,84700.66666666667
236,102061.0,22993.666666666668,101566.3333333333,91431.33333333334,98832.6666666667
237,108465.66666666663,22296.000000000004,103125.00000000004,103639.66666666667,105793.00000000004
238,102645.00000000001,22337.33333333334,102565.00000000003,102962.0,88965.33333333331
239,104475.00000000004,24038.333333333336,103099.33333333333,101275.3333333333,94841.0
240,108021.6666666667,22059.333333333336,100863.66666666667,102724.99999999999,96812.6666666667
241,104744.00000000004,24290.333333333336,103415.66666666673,101871.66666666667,78337.33333333333
242,104793.33333333336,22159.66666666668,99408.66666666664,98591.6666666667,102344.33333333334
243,108065.66666666669,22992.000000000007,87217.00000000003,77060.33333333333,90682.33333333331
244,100293.66666666667,23474.00000000001,106868.00000000001,103171.33333333331,102550.66666666666
245,105037.00000000001,22963.000000000007,105665.66666666672,100293.99999999999,91026.66666666672
246,106421.99999999999,22854.000000000004,108485.99999999996,96103.66666666666,86759.33333333333
247,102847.66666666669,22726.333333333343,105795.66666666667,104282.33333333336,97567.3333333333
248,99977.0,24433.666666666675,100249.3333333333,101112.33333333333,101138.0
249,107639.66666666666,21257.66666666668,96535.0,105796.33333333334,91579.0
250,108489.0,23455.66666666667,93758.99999999999,95695.33333333337,100347.99999999999
251,103934.33333333331,24003.66666666667,108897.66666666669,89541.33333333333,96286.00000000001
252,98524.66666666663,24612.66666666667,101228.33333333331,105134.33333333334,96181.33333333334
253,105044.66666666667,23645.000000000007,96131.66666666669,96545.66666666667,101425.00000000003
254,108475.66666666669,22248.33333333334,99599.66666666667,99770.66666666669,100698.0
255,101152.66666666667,22420.333333333343,90970.66666666666,93385.33333333336,80557.33333333336
256,107359.66666666666,22886.000000000007,100599.66666666663,103291.33333333339,78227.33333333336
257,96237.33333333342,22418.33333333334,96413.00000000003,103388.6666666667,99462.33333333333
258,95068.0,24242.000000000004,95346.0,91589.66666666667,98379.66666666667
259,104060.66666666669,23877.000000000007,108995.66666666669,104171.99999999999,91920.66666666669
260,101496.99999999999,22935.333333333336,110476.33333333331,90859.66666666667,102356.66666666669
261,103738.00000000003,22676.33333333334,103379.66666666667,108484.0,102924.33333333333
262,103510.33333333331,21608.666666666675,70464.33333333334,105351.00000000001,103402.66666666672
263,105325.00000000001,22029.666666666675,99942.33333333336,102715.00000000003,91005.66666666672
264,108004.0,22770.666666666675,99170.66666666669,91970.33333333336,106307.33333333333
265,107449.00000000001,22665.000000000007,102062.33333333333,98787.66666666667,99134.00000000004
266,100397.33333333336,22626.666666666668,98631.6666666667,96150.66666666672,106388.66666666667
267,102111.33333333333,22040.000000000004,105423.33333333336,101130.99999999996,85657.66666666666
268,84883.0,22843.33333333334,92488.66666666667,105436.66666666669,101745.66666666667
269,98951.66666666664,22434.999999999996,105903.33333333333,102022.0,85673.0
270,105995.33333333337,22735.33333333334,94739.33333333334,90849.00000000003,100958.6666666667
271,109962.0,21085.000000000007,103919.00000000001,95240.66666666667,77600.33333333334
272,104525.0,23022.000000000004,98586.33333333336,104814.33333333334,99879.33333333333
273,104457.33333333333,23643.333333333336,104464.33333333334,107076.33333333334,101513.66666666664
274,107331.66666666669,23739.00000000001,97570.33333333334,87727.00000000004,91273.66666666667
275,99003.33333333333,23600.666666666675,86142.00000000003,105456.99999999999,73289.66666666667
276,100545.66666666663,22123.00000000001,94759.33333333337,104499.33333333333,98845.00000000003
277,105674.0,23331.333333333332,105241.66666666667,105509.66666666666,100625.66666666666
